index,result_raw,result,apply_for_raw,apply_for,major,degree,gpa,TOEFL,GRE,from_raw,from
2173329,offer,Offer,University of Maryland - College Park,else,biostatistics,MS,80.9875,106,320,四川大学,211
2173329,offer,Offer,University of Minnesota - Twin Cities,top20,biostatistics,MS,80.9875,106,320,四川大学,211
2173329,offer,Offer,University of Michigan - Ann Arbor,top20,biostatistics,MS,80.9875,106,320,四川大学,211
2173329,offer,Offer,University of California - Davis,top30,biostatistics,MS,80.9875,106,320,四川大学,211
2164306,AD无奖,Offer,University of Michigan - Ann Arbor,top20,Statistics 统计,MS,92.625,93,316,211 & 985,211 & 985
2163661,被拒,Rejected,University of Washington,top10,Statistics,MS,89.0625,105,325,211 & 985,211 & 985
2160291,AD无奖,Offer,Columbia University,top20,Biostatistics,MS,87,107,324,211,211
2160291,AD小奖,Offer,Boston University,top50,Biostatistics,MS,87,107,324,211,211
2160291,AD无奖,Offer,Emory University,top40,Biostatistics,MS,87,107,324,211,211
2160291,AD无奖,Offer,University of Michigan - Ann Arbor,top20,Biostatistics,MS,87,107,324,211,211
2160291,AD无奖,Offer,Tulane University,else,biostatistics,MS,87,107,324,211,211
2159937,AD无奖,Offer,Georgia Institute of Technology,else,Statistics 统计,MS,88.55,108,331,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2159749,AD小奖,Offer,Washington University in St Louis,else,Biostatistics,MS,88.5875,102,324,211,211
2153400,AD小奖,Offer,Johns Hopkins University,top5,biostatistics,MS,89.775,106,323,Cornell University,Oversea
2153400,AD无奖,Offer,University of Michigan - Ann Arbor,top20,biostatistics,MS,89.775,106,323,Cornell University,Oversea
2153400,AD无奖,Offer,Emory University,top40,biostatistics,MS,89.775,106,323,Cornell University,Oversea
2153400,AD小奖,Offer,George Washington University,top50,biostatistics,MS,89.775,106,323,Cornell University,Oversea
2153400,AD无奖,Offer,Tulane University,else,biostatistics,MS,89.775,106,323,Cornell University,Oversea
2153400,AD无奖,Offer,The University of Texas Southwestern Medical Center,else,biostatistics,MS,89.775,106,323,Cornell University,Oversea
2153400,AD无奖,Offer,Rutgers University - Newark,top40,biostatistics,MS,89.775,106,323,Cornell University,Oversea
2153400,AD无奖,Offer,University of Minnesota - Twin Cities,top20,biostatistics,MS,89.775,106,323,Cornell University,Oversea
2152386,AD无奖,Offer,Emory University,top40,biostatistics,MS,86.925,104,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2152386,AD无奖,Offer,University of Michigan - Ann Arbor,top20,Biostatistics,MS,86.925,104,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2152386,AD无奖,Offer,Columbia University,top20,biostatistics,MS,86.925,104,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2152386,AD无奖,Offer,University of Pittsburgh,top50,biostatistics,MS,86.925,104,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2152386,AD无奖,Offer,University of Massachusetts - Amherst,else,biostatistics,MS,86.925,104,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2152386,AD无奖,Offer,University of Minnesota - Twin Cities,top20,biostatistics,MS,86.925,104,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2150439,offer,Offer,SUNY University at Buffalo,else,Bioinformatics and Biostatistics,MS,76,98,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2150439,被拒,Rejected,The Pennsylvania State University,top20,Applied Statistics,MS,76,98,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2151838,AD无奖,Offer,Emory University,top40,biostatistics,MS,83.125,96,321,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2151838,AD无奖,Offer,Rutgers University,top40,biostatistics,MS,83.125,96,321,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2151838,被拒,Rejected,Columbia University,top20,biostatistics,MS,83.125,96,321,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2151838,AD无奖,Offer,University of Florida,top30,biostatistics,MS,83.125,96,321,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
2151277,AD小奖,Offer,Duke University,top10,biostatistics,MS,87.875,100,322,利物浦大学,Oversea
2151277,AD无奖,Offer,University of Minnesota - Twin Cities,top20,biostatistics,MS,87.875,100,322,利物浦大学,Oversea
2149991,offer,Offer,University of Kentucky,else,Statistics,MS,78.375,98,325,中国海洋大学,211
2149991,AD小奖,Offer,Georgia State University,else,Statistics,MS,78.375,98,325,中国海洋大学,211
2149991,被拒,Rejected,Oregon State University,else,Statistics,MS,78.375,98,325,中国海洋大学,211
2148173,AD小奖,Offer,Washington University in St Louis,else,biostatistics,MS,87.875,100,322,利物浦大学,Oversea
2174431,offer,Offer,University of Rochester,top50,Statistics,MA,87.1625,101,322,211,211
2174431,被拒,Rejected,Johns Hopkins University,top5,Statistics,MS,87.1625,101,322,211,211
2174431,被拒,Rejected,University of Michigan - Ann Arbor,top20,Statistics,MS,87.1625,101,322,211,211
2174431,被拒,Rejected,Carnegie Mellon University,top10,Statistics,MS,87.1625,101,322,211,211
2156375,AD无奖,Offer,New York University,top50,Applied Statistics,MS,88.1125,108,323,211 & 985,211 & 985
2156375,AD无奖,Offer,Columbia University,top20,Statistics,MA,88.1125,108,323,211 & 985,211 & 985
2156375,AD无奖,Offer,University of Arizona,else,Statistics,MS,88.1125,108,323,211 & 985,211 & 985
2156375,被拒,Rejected,University of California - Los Angeles,top30,Statistics,MS,88.1125,108,323,211 & 985,211 & 985
2156375,被拒,Rejected,University of Washington,top10,Statistics,MS,88.1125,108,323,211 & 985,211 & 985
2156375,被拒,Rejected,University of British Columbia,else,Statistics,MS,88.1125,108,323,211 & 985,211 & 985
2156375,offer,Offer,University of Waterloo,else,Statistics,MS,88.1125,108,323,211 & 985,211 & 985
2156365,AD无奖,Offer,University of California - Berkeley,top20,Statistics,MA,87.6375,109,328,211,211
2156333,offer,Offer,Georgetown University,else,Biostatistics,MS,84.3,89,314,双非,双非
2156333,Wailting list,Rejected,Washington University in St Louis,else,Biostatistics,MS,84.3,89,314,双非,双非
2156333,offer,Offer,University of Connecticut,top50,Biostatistics,MS,84.3,89,314,双非,双非
2156333,offer,Offer,University of Florida,top30,Biostatistics,MS,84.3,89,314,双非,双非
2156333,被拒,Rejected,Purdue University,top30,Statistics,MS,84.3,89,314,双非,双非
2154907,AD无奖,Offer,University of Illinois at Urbana-Champaign,top40,Statistics,MS,85.2625,107.1428571,327,211 & 985,211 & 985
2154907,AD无奖,Offer,Washington University in St Louis,else,Data Analytics and Statistics,MS,85.2625,107.1428571,327,211 & 985,211 & 985
2154907,被拒,Rejected,University of California - Los Angeles,top30,Statistics,MS,85.2625,107.1428571,327,211 & 985,211 & 985
2156373,被拒,Rejected,Yale University,top40,Statistics,MS,89.0625,105,325,211 & 985,211 & 985
2156373,被拒,Rejected,Eidgenossische Technische Hochschule Zürich,else,Statistics,MS,89.0625,105,325,211 & 985,211 & 985
2156373,被拒,Rejected,University of British Columbia,else,Statistics,MS,89.0625,105,325,211 & 985,211 & 985
2156373,AD无奖,Offer,University of California - San Diego,else,Statistics,MS,89.0625,105,325,211 & 985,211 & 985
2150384,offer,Offer,Georgia State University,else,Statistics,MS,85.69,84,316,211,211
2149422,被拒,Rejected,Purdue University,top30,Statistics,MA,90.65,103,325,211,211
2086191,AD无奖,Offer,University of Glasgow,else,Statistics,MS,76,97,321,211,211
2086191,AD无奖,Offer,George Washington University,top50,Statistics,MS,76,97,321,211,211
2086191,被拒,Rejected,University of Edinburgh,else,Statistics,MS,76,97,321,211,211
2086191,被拒,Rejected,Iowa State University,top20,Statistics,MS,76,97,321,211,211
2082757,AD小奖,Offer,Cornell University,top30,Statistics,MS,92,107,325,211 & 985,211 & 985
2082757,AD小奖,Offer,Johns Hopkins University,top5,Statistics,MS,92,107,325,211 & 985,211 & 985
2082757,AD无奖,Offer,University of Illinois at Urbana-Champaign,top40,Statistics - Analytics,MS,92,107,325,211 & 985,211 & 985
2082757,AD无奖,Offer,University of Southern California,else,Statistics,MS,92,107,325,211 & 985,211 & 985
2082757,被拒,Rejected,Carnegie Mellon University,top10,Statistics,MS,92,107,325,211 & 985,211 & 985
2081567,AD无奖,Offer,University of Pittsburgh,top50,Statistics,MA,86.925,98,320,211,211
2081567,AD无奖,Offer,University of Connecticut,top50,Statistics,MS,86.925,98,320,211,211
2081567,AD无奖,Offer,George Washington University,top50,Statistics,MS,86.925,98,320,211,211
2081567,被拒,Rejected,University of Illinois at Urbana-Champaign,top40,Statistics,MS,86.925,98,320,211,211
2077634,AD无奖,Offer,Washington University in St Louis,else,Statistics,MA,85.1,102,327,哈尔滨工业大学,985
2076475,AD无奖,Offer,Rutgers University,top40,Statistics,MS,78.85,100,321,211,211
2075775,AD无奖,Offer,Columbia University,top20,Statistics,MS,87.5,103,320,双非,双非
2074054,AD无奖,Offer,University of California - Davis,top30,Statistics,MA,97.5,97,322,211,211
2074054,被拒,Rejected,Duke University,top10,Statistics,MS,97.5,97,322,211,211
2074054,被拒,Rejected,Columbia University,top20,Statistics,MA,97.5,97,322,211,211
2074054,被拒,Rejected,Purdue University,top30,Statistics,MA,97.5,97,322,211,211
2074054,被拒,Rejected,University of Chicago,top5,Statistics,MS,97.5,97,322,211,211
2074054,AD小奖,Offer,University of Nebraska - Lincoln,else,Statistics,MA,97.5,97,322,211,211
2074054,AD无奖,Offer,University of Connecticut,top50,Statistics,MS,97.5,97,322,211,211
2074054,AD无奖,Offer,Florida State University,top40,Statistics,MS,97.5,97,322,211,211
2074054,AD无奖,Offer,University of Washington,top10,Statistics,MS,97.5,97,322,211,211
2073289,offer,Offer,University of California - Davis,top30,Statistics,MA,89.775,96,319,211 & 985,211 & 985
2066331,AD无奖,Offer,SUNY University at Buffalo,else,Biostatistics,MA,83.3625,91,313,双非,双非
2066331,AD无奖,Offer,Michigan State University,top50,Statistics,MS,83.3625,91,313,双非,双非
2066331,被拒,Rejected,The Pennsylvania State University,top20,Statistics,MS,83.3625,91,313,双非,双非
2071189,AD无奖,Offer,Boston University,top50,Biostatistics,MS,86.2125,106,318,211 & 985,211 & 985
2071189,AD无奖,Offer,University of Southern California,else,Biostatistics,MS,86.2125,106,318,211 & 985,211 & 985
2071189,被拒,Rejected,University of Washington,top10,Statistics,MS,86.2125,106,318,211 & 985,211 & 985
2070334,AD无奖,Offer,Columbia University,top20,Statistics,MA,90.25,106,314,辽宁大学,211
2070334,AD无奖,Offer,University of California - Irvine,else,Statistics,MS,90.25,106,314,辽宁大学,211
2070912,AD无奖,Offer,Columbia University,top20,Statistics,MA,90.25,110,335,985+211,211 & 985
2070677,AD无奖,Offer,Columbia University,top20,Statistics,MA,87,101,323,211 & 985,211 & 985
2069872,被拒,Rejected,Purdue University,top30,Statistics,MA,89.775,96,319,211 & 985,211 & 985
